"clave_estado","estado"
"22","QUERÉTARO"
"31","YUCATÁN"
"02","BAJA CALIFORNIA"
"14","JALISCO"
"27","TABASCO"
"08","CHIHUAHUA"
"23","QUINTANA ROO"
"29","TLAXCALA"
"20","OAXACA"
"26","SONORA"
"06","COLIMA"
"28","TAMAULIPAS"
"16","MICHOACÁN DE OCAMPO"
"18","NAYARIT"
"21","PUEBLA"
"01","AGUASCALIENTES"
"07","CHIAPAS"
"17","MORELOS"
"11","GUANAJUATO"
"30","VERACRUZ DE IGNACIO DE LA LLAVE"
"03","BAJA CALIFORNIA SUR"
"04","CAMPECHE"
"09","CIUDAD DE MÉXICO"
"19","NUEVO LEÓN"
"10","DURANGO"
"24","SAN LUIS POTOSÍ"
"25","SINALOA"
"32","ZACATECAS"
"13","HIDALGO"
"15","MÉXICO"
"05","COAHUILA DE ZARAGOZA"
"12","GUERRERO"
"99","SIN CLASIFICAR"
