"clave_institucion","clave_producto_hipotecario","producto_hipotecario","clave"
"037006","0","No aplica","0370060"
"037006","20","Cartera a Exempleados","03700620"
"037009","0","No aplica","0370090"
"037009","7009371","Cartera a Exempleados","0370097009371"
"037019","0","No aplica","0370190"
"037019","1301","CREDI-CASA LIQUIDEZ","0370191301"
"037019","3208","FOVI JARDINES DEL ROSARIO I ","0370193208"
"037019","3209","FOVI CLAUDIO ARCINIEGA","0370193209"
"037019","3212","FOVI LA COMOLEA","0370193212"
"037019","3215","FOVI JUAN DIEGO","0370193215"
"037019","3312","HIPOTECARIO EX-EMPLEADOS","0370193312"
"037019","3401","CREDI-CASA","0370193401"
"037019","3402","CREDI-CASA COFINANCIAMIENTO ISSFAM BANJERCITO","0370193402"
"037019","3406","CREDICASA VIVIENDA FACIL I ","0370193406"
"037019","3407","CREDICASA VIVIENDA FACIL II","0370193407"
"037019","3408","BANJE-CASA  PARA MADRES SOLTERAS","0370193408"
"037019","3501","CREDI-CASA RETIRADOS","0370193501"
"037019","3502","CREDICASA VIVIENDA FACIL III","0370193502"
"037019","3503","BANJE-CASA RETIRADOS PARA MADRES SOLTERAS ","0370193503"
"037019","3601","CREDI-CASA LIQUIDEZ RETIRADOS","0370193601"
"037019","3801","BANJE-TERRENO BANJERCITO","0370193801"
"037019","3901","BANJE-TERRENO BANJERCITO (PARA PERSONAL RETIRADO)","0370193901"
"037019","7001","HIPOTECARIO UDIS","0370197001"
"037019","904","FOVI SAC-PACAL","037019904"
"037135","0","No aplica","0371350"
"037135","7135371","Exempleados Vivienda","0371357135371"
"037135","7135372","Exempleados Bajas Administrativas Vivienda","0371357135372"
"037166","0","No aplica","0371660"
"037168","0","No aplica","0371680"
"037168","7168371","Crédito Hipotecario Ex Empleados","0371687168371"
"037168","7168372","Crédito Hipotecario Largo Plazo Individuales","0371687168372"
"037168","7168373","Créditos hipotecarios individuales","0371687168373"
"037168","7168374","Fideicomiso 10234 - Bansefi","0371687168374"
"037168","7168375","Fideicomiso 508 - Mejora tu casa","0371687168375"
"037168","7168376","Fideicomiso 1501 - Respaldados M","0371687168376"
"037168","7168377","Fideicomiso 10486 - Cofinanciamiento Fovisste pesos","0371687168377"
"037168","7168378","Fideicomiso 3040 - INVEX","0371687168378"
"037168","7168379","Fideicomiso 2906 – ACTINVER","0371687168379"
"037168","7168380","Fideicomiso 2848-CI BANCO","0371687168380"
"040002","0","No aplica","0400020"
"040002","04000201","Infonavit Total","04000204000201"
"040002","1000","Tasa Fija con Apoyo Infonavit al 100%","0400021000"
"040002","1001","Tasa Fija con Apoyo Infonavit al 95%","0400021001"
"040002","1002","Tasa Fija con Apoyo Infonavit al 80%","0400021002"
"040002","1050","Tasa Fija al 95%","0400021050"
"040002","1051","Tasa Fija al 90%","0400021051"
"040002","1052","Tasa Fija al 80%","0400021052"
"040002","1053","Tasa Fija con Apoyo Infonavit sin comision al 100%","0400021053"
"040002","1054","Tasa Fija con Apoyo Infonavit sin comision al 95%","0400021054"
"040002","1055","Tasa Fija con Apoyo Infonavit sin comision al 80%","0400021055"
"040002","1056","Tasa Fija sin comision al 95%","0400021056"
"040002","1057","Tasa Fija sin comision al 90%","0400021057"
"040002","1058","Tasa Fija sin comision al 80%","0400021058"
"040002","1061","Cambia de Hipoteca y Liquidez sin comision","0400021061"
"040002","1062","Pago de Pasivos y Liquidez sin comision","0400021062"
"040002","1063","Alia 2 Tasa Fija 80%","0400021063"
"040002","1064","Alia 2 Tasa Fija 80% sin comision","0400021064"
"040002","1065","Alia 2 Tasa Fija 90%","0400021065"
"040002","1066","Alia 2 Tasa Fija 90% sin comision","0400021066"
"040002","1067","Alia 2 Tasa Fija Segmento Tradicional","0400021067"
"040002","1068","Alia 2 Tasa Fija Segmento Tradicional sin comision","0400021068"
"040002","1069","Alia 2 Pagos Conocidos Segmento Tradicional","0400021069"
"040002","1070","Cofinavit Banamex Segmento Tradicional","0400021070"
"040002","1071","Cofinavit Banamex Segmento Tradicional sin comision","0400021071"
"040002","1072","Cofinavit Banamex Media y Residencial  80%","0400021072"
"040002","1073","Cofinavit Banamex Media y Residencial sin comision 80%","0400021073"
"040002","1074","Cofinavit Banamex Media y Residencial  90%","0400021074"
"040002","1075","Cofinavit Banamex Media y Residencial sin comision 90%","0400021075"
"040002","1076","Respalda 2 Tasa Fija 80%","0400021076"
"040002","1077","Respalda 2 Tasa Fija 80% sin comision","0400021077"
"040002","1078","Respalda 2 Tasa Fija 90%","0400021078"
"040002","1079","Respalda 2 Tasa Fija 90% sin comision","0400021079"
"040002","1150","Destino Libre","0400021150"
"040002","1151","Destino Libre 40%","0400021151"
"040002","1152","Destino Libre sin comisión 40%","0400021152"
"040002","1250","Cambia tu Hipoteca","0400021250"
"040002","1457","Pago de Pasivos y Liquidez","0400021457"
"040002","1458","Cambia tu Hipoteca y Liquidez","0400021458"
"040002","1461","Cambia Tu Hipoteca sin comision","0400021461"
"040002","1463","Destino Libre sin comision","0400021463"
"040002","1467","Alia 2 Tasa Fija 85%","0400021467"
"040002","1468","Alia 2 Tasa Fija 85% sin comision","0400021468"
"040002","1469","Cofinavit Banamex Media y Residencial 85%","0400021469"
"040002","1470","Cofinavit Banamex Media y Residencial sin comision 85%","0400021470"
"040002","1471","Respalda 2 Tasa Fija 85%","0400021471"
"040002","1472","Respalda 2 Tasa Fija 85% sin comision","0400021472"
"040002","1473","Tasa Fija al 85%","0400021473"
"040002","1474","Tasa Fija sin comision al 85%","0400021474"
"040002","1475","Tasa Fija con Apoyo Infonavit al 85%","0400021475"
"040002","1476","Tasa Fija con Apoyo Infonavit sin comision al 85%","0400021476"
"040002","1477","Tasa Fija con Apoyo Infonavit al 90%","0400021477"
"040002","1478","Tasa Fija con Apoyo Infonavit sin comision al 90%","0400021478"
"040002","1479","Destino Libre 50%","0400021479"
"040002","1480","Destino Libre sin comision 50%","0400021480"
"040002","1481","Pago de Pasivos y Liquidez 50%","0400021481"
"040002","1482","Pago de Pasivos y Liquidez sin comision 50%","0400021482"
"040002","1483","Pago de Pasivos y Liquidez 40%","0400021483"
"040002","1484","Pago de Pasivos y Liquidez sin comisión 40%","0400021484"
"040002","1496","Cambia tu Hipoteca con Hipoteca Banamex 1","0400021496"
"040002","1497","Respalda2 Hipoteca Banamex 1","0400021497"
"040002","1498","Alia2 Plus Hipoteca Banamex 1","0400021498"
"040002","1499","Cofinavit Hipoteca Banamex 1 ","0400021499"
"040002","1500","Apoyo Infonavit Hipoteca Banamex 1","0400021500"
"040002","1501","Adquisición Hipoteca Banamex 1","0400021501"
"040002","1502","Adquisición Hipoteca SIN","0400021502"
"040002","1503","Apoyo Infonavit Hipoteca SIN","0400021503"
"040002","1504","Cofinavit Hipoteca SIN ","0400021504"
"040002","1506","Respalda2 Hipoteca SIN","0400021506"
"040002","15071","Adquisición","04000215071"
"040002","15081","Apoyo Infonavit","04000215081"
"040002","15091","Cofinavit","04000215091"
"040002","15101","Alia2 Plus","04000215101"
"040002","15111","Respalda2","04000215111"
"040002","15121","Cambia tu Hipoteca","04000215121"
"040002","2000","Cambia tu Hipoteca con Hipoteca SIN","0400022000"
"040002","2001","Alia2 Plus Hipoteca SIN","0400022001"
"040003","0","No aplica","0400030"
"040004","0","No aplica","0400040"
"040007","0","No aplica","0400070"
"040008","0","No aplica","0400080"
"040011","0","No aplica","0400110"
"040012","0","No aplica","0400120"
"040012","3001","Adquisicion Pesos Tasa Fija, Casa Economica","0400123001"
"040012","3002","Adquisicion Pesos Tasa Fija, Casa Economica (Pagador Puntual)","0400123002"
"040012","3003","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Economica","0400123003"
"040012","3004","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Economica (Pagador Puntual)","0400123004"
"040012","3006","Adquisicion Pesos Tasa Fija, Casa Media","0400123006"
"040012","3007","Adquisicion Pesos Tasa Fija, Casa Media (Pagador Puntual)","0400123007"
"040012","3008","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Media","0400123008"
"040012","3009","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Media (Pagador Puntual)","0400123009"
"040012","3010","Adquisicion Pesos Tasa Fija, Casa Residencial","0400123010"
"040012","3011","Adquisicion Pesos Tasa Fija, Casa Residencial (Pagador Puntual)","0400123011"
"040012","3012","Adquisicion Pesos Tasa Fija Apoyo Infonavit, Casa Residencial","0400123012"
