"clave_sector","sector","clave_institucion","institucion"
40,"Banca Múltiple","040058","Banregio"
68,"SOFOMER","068053","Proyectos Adamantine"
40,"Banca Múltiple","040127","Banco Azteca"
40,"Banca Múltiple","040014","Santander"
40,"Banca Múltiple","040072","Banorte"
40,"Banca Múltiple","040156","Sabadell"
68,"SOFOMER","068004","Start Banregio"
40,"Banca Múltiple","040044","Scotiabank"
37,"Banca de Desarrollo","037168","Sociedad Hipotecaria Federal"
40,"Banca Múltiple","040113","Ve por Más"
40,"Banca Múltiple","040131","Banco Ahorro Famsa"
40,"Banca Múltiple","040021","HSBC"
40,"Banca Múltiple","040002","Banamex"
40,"Banca Múltiple","040112","Monex"
40,"Banca Múltiple","040137","Bancoppel"
40,"Banca Múltiple","040128","Kapital (Antes Autofin)"
37,"Banca de Desarrollo","037135","Nafin"
37,"Banca de Desarrollo","037019","Banjército"
40,"Banca Múltiple","040059","Invex"
37,"Banca de Desarrollo","037006","Bancomext"
40,"Banca Múltiple","040062","Afirme"
68,"SOFOMER","068041","Metrofinanciera"
40,"Banca Múltiple","040036","Inbursa"
40,"Banca Múltiple","040132","Multiva"
40,"Banca Múltiple","040152","Bancrea"
40,"Banca Múltiple","040138","Ualá"
40,"Banca Múltiple","040143","CIBanco"
68,"SOFOMER","068036","Santander Vivienda"
40,"Banca Múltiple","040042","Banca Mifel"
68,"SOFOMER","068039","SabCapital"
40,"Banca Múltiple","040012","BBVA México"
40,"Banca Múltiple","040060","Bansí"
40,"Banca Múltiple","040150","Inmobiliario Mexicano"
40,"Banca Múltiple","040030","Banco del Bajío"
37,"Banca de Desarrollo","037009","Banobras"
68,"SOFOMER","068059","ION Financiera"
